Artista,Subgênero,Música,Popularidade,Mês,Duração,Período
Wesley Safadão,Forró Eletrônico,Mentira Estampada,77,9,2.8867666666666665,Depois
Wesley Safadão,Forró Eletrônico,Seis Cordas / Baião de Dois / Cavalo Lampião - Ao Vivo,73,3,5.258333333333334,Antes
Wesley Safadão,Forró Eletrônico,Mentirosa - Ao Vivo,72,12,2.7594333333333334,Depois
Wesley Safadão,Forró Eletrônico,DNA do Mato,71,6,2.6505833333333335,Durante
Wesley Safadão,Forró Eletrônico,Quatro Semanas de Amor / Não Me Julgue / Do Meu Jeito - Ao Vivo,71,3,4.902283333333333,Antes
Wesley Safadão,Forró Eletrônico,Laranjinha,70,9,2.9329666666666667,Depois
Wesley Safadão,Forró Eletrônico,Sede de Te Amar / Timidez - Ao Vivo,67,3,3.6462166666666667,Antes
Wesley Safadão,Forró Eletrônico,Bipolar,67,9,2.8632166666666667,Depois
Wesley Safadão,Forró Eletrônico,Diga Sim pra Mim,67,10,3.59285,Depois
Wesley Safadão,Forró Eletrônico,"O Rei das Vaquejadas / Não Sou Vaqueiro / É o Boi, o Cavalo e o Vaqueiro / Cavaleiro Alado - Ao Vivo",66,3,8.171866666666666,Antes
João Gomes,Piseiro,Lembrei de Nós,72,4,3.272,Antes
João Gomes,Piseiro,Meu Pedaço de Pecado,70,6,2.6195833333333334,Durante
João Gomes,Piseiro,Beija Flor,70,4,3.7168,Antes
João Gomes,Piseiro,Dengo,70,5,2.5659666666666667,Antes
João Gomes,Piseiro,Mete um Block Nele / Ela Tem,69,4,3.43345,Antes
João Gomes,Piseiro,Aquelas Coisas,69,6,2.4512,Durante
João Gomes,Piseiro,5 Da Manhã - Ao Vivo,55,10,2.4519333333333333,Depois
João Gomes,Piseiro,Arriadin por Tu,68,4,2.9127,Antes
João Gomes,Piseiro,Se For Amor,68,6,3.9988,Durante
João Gomes,Piseiro,Colo de Menina,67,5,3.3304833333333335,Antes
Zé Vaqueiro,Piseiro,DNA do Mato,71,6,2.6505833333333335,Durante
Zé Vaqueiro,Piseiro,Quatro Semanas de Amor / Não Me Julgue / Do Meu Jeito - Ao Vivo,71,3,4.902283333333333,Antes
Zé Vaqueiro,Piseiro,Que Pancada de Mulher,62,5,2.28395,Antes
Zé Vaqueiro,Piseiro,Coladin (Minha Deusa),65,10,3.8050166666666665,Depois
Zé Vaqueiro,Piseiro,Maravilhosa - Ao Vivo,55,12,1.9318166666666667,Depois
Zé Vaqueiro,Piseiro,Eu Tenho Medo,64,10,3.613916666666667,Depois
Zé Vaqueiro,Piseiro,Meio Dia / Viajante Forrozeiro - Ao Vivo,62,3,3.7556333333333334,Antes
Zé Vaqueiro,Piseiro,Meu Mel,60,10,2.72645,Depois
Zé Vaqueiro,Piseiro,Vagabundo,60,5,2.7563333333333335,Antes
Zé Vaqueiro,Piseiro,Te Amo Escondido,60,7,2.6410666666666667,Depois
Mari Fernandez,Piseiro,Página De Ex - Ao Vivo,61,7,2.6935,Depois
Mari Fernandez,Piseiro,Mil Bocas - Ao Vivo,69,6,2.4885166666666665,Durante
Mari Fernandez,Piseiro,Falta de Mim - Ao Vivo,65,2,2.5694,Antes
Mari Fernandez,Piseiro,Eu Gosto Assim - Ao Vivo,68,9,2.48,Depois
Mari Fernandez,Piseiro,Seu Brilho Sumiu - Ao Vivo,64,3,2.814,Antes
Mari Fernandez,Piseiro,Não Vitalício (Nunca Mais) - Ao Vivo,62,8,2.8305833333333332,Depois
Mari Fernandez,Piseiro,Pé na Rua - Ao Vivo,64,7,2.35245,Depois
Mari Fernandez,Piseiro,Abismo,62,6,3.4526833333333333,Durante
Mari Fernandez,Piseiro,Comunicação Falhou - Ao Vivo,60,4,3.0068333333333332,Antes
Mari Fernandez,Piseiro,Tu Não Ama - Ao Vivo,61,11,2.420183333333333,Depois
Manu,Forró Romântico,Non-Stop,74,9,6.423966666666667,Depois
Manu,Forró Romântico,Alexander Hamilton,75,9,3.9456166666666665,Depois
Manu,Forró Romântico,My Shot,73,9,5.552566666666666,Depois
Manu,Forró Romântico,"Aaron Burr, Sir",73,9,2.6105,Depois
Manu,Forró Romântico,The Room Where It Happens,71,9,5.303566666666667,Depois
Manu,Forró Romântico,Say No to This,70,9,4.033616666666667,Depois
Manu,Forró Romântico,Right Hand Man,70,9,5.3616,Depois
Manu,Forró Romântico,Dear Theodosia,70,9,3.0667333333333335,Depois
Manu,Forró Romântico,We Know The Way,68,11,2.356883333333333,Depois
Manu,Forró Romântico,The Story of Tonight,69,9,1.533,Depois
NATTAN,Forró Eletrônico,Última Noite,73,8,2.62595,Depois
NATTAN,Forró Eletrônico,Desapaixona Eu - Ao Vivo,74,6,2.62345,Durante
NATTAN,Forró Eletrônico,DNA do Mato,71,6,2.6505833333333335,Durante
NATTAN,Forró Eletrônico,Love Gostosinho - Ao Vivo,71,12,2.73055,Depois
NATTAN,Forró Eletrônico,Ama Ou Não Ama,70,7,2.2729333333333335,Depois
NATTAN,Forró Eletrônico,Medley Canoa - Putaria no Escuro / Menina do Job / Escada do Prédio / Mal Caminho / Pede Que eu Te Dou,69,10,6.124983333333334,Depois
NATTAN,Forró Eletrônico,Morena,68,4,2.987233333333333,Antes
NATTAN,Forró Eletrônico,Eu Vou Sentar - Ao Vivo em São Paulo,64,8,2.5789,Depois
NATTAN,Forró Eletrônico,Nunca Mais - Ao Vivo,65,12,3.1129166666666666,Depois
NATTAN,Forró Eletrônico,Gata - Barbie,65,11,3.0909,Depois
Iguinho e Lulinha,Forró Romântico,Marra De Bandida,68,6,2.0873333333333335,Durante
Iguinho e Lulinha,Forró Romântico,Coração de Vaqueiro,67,4,3.7049333333333334,Antes
Iguinho e Lulinha,Forró Romântico,"Te Amar, Te Amar",61,7,3.929683333333333,Depois
Iguinho e Lulinha,Forró Romântico,Fora do Comum,60,3,2.6865666666666668,Antes
Iguinho e Lulinha,Forró Romântico,Dessa Vez,59,11,2.4954666666666667,Depois
Iguinho e Lulinha,Forró Romântico,Pra Que Fui Me Apaixonar,59,6,3.215,Durante
Iguinho e Lulinha,Forró Romântico,Não Tem Amor,59,1,2.7625,Antes
Iguinho e Lulinha,Forró Romântico,Pilantrou - Ao Vivo,49,11,2.5518666666666667,Depois
Iguinho e Lulinha,Forró Romântico,Coração Acelera,58,7,2.2612666666666668,Depois
Iguinho e Lulinha,Forró Romântico,Só Pegava Tu,57,4,2.9989,Antes
Os Barões Da Pisadinha,Piseiro,Já Que Me Ensinou a Beber,58,9,2.6405333333333334,Depois
Os Barões Da Pisadinha,Piseiro,Tá Rocheda,66,9,3.3845833333333335,Depois
Os Barões Da Pisadinha,Piseiro,Camila - Ao Vivo,63,6,3.11265,Durante
Os Barões Da Pisadinha,Piseiro,Recairei - Ao Vivo,58,10,2.7806166666666665,Depois
Os Barões Da Pisadinha,Piseiro,Apaixonado ou Bagaceiro - Ao Vivo,62,6,2.8282,Durante
Os Barões Da Pisadinha,Piseiro,Nunca Vai Ser Eu,61,9,2.361466666666667,Depois
Os Barões Da Pisadinha,Piseiro,Quem Me Dera,61,9,2.268283333333333,Depois
Os Barões Da Pisadinha,Piseiro,Basta Você Me Ligar - Ao Vivo,61,10,3.0496,Depois
Os Barões Da Pisadinha,Piseiro,Bebê Vem Me Procurar,61,9,2.4542,Depois
Os Barões Da Pisadinha,Piseiro,Esquema Preferido - Ao Vivo,60,8,3.366216666666667,Depois
Eric Land,Forró Eletrônico,Pilantra e Meio,68,1,3.14705,Antes
Eric Land,Forró Eletrônico,Na Imaginação,73,4,1.9007333333333334,Antes
Eric Land,Forró Eletrônico,Chorei na Vaquejada,64,5,2.6195,Antes
Eric Land,Forró Eletrônico,Vem Desestressar,61,5,1.9216333333333333,Antes
Eric Land,Forró Eletrônico,Cidade Inteira,57,1,3.574,Antes
Eric Land,Forró Eletrônico,Esqueceu Foi Porra,56,3,2.95885,Antes
Eric Land,Forró Eletrônico,Vaqueira Sexy,55,8,2.0178,Depois
Eric Land,Forró Eletrônico,Vaqueira,54,12,2.6514,Depois
Eric Land,Forró Eletrônico,Pilantra e Meio - Ao Vivo,53,7,2.9644,Depois
Eric Land,Forró Eletrônico,Imagine a Cena,53,10,3.0247,Depois
